invoiceno,invoice_date,customerid,country,total_revenue,is_return,year_month
536401,2010-12-01 11:21:00,15862.0,United Kingdom,354.23,False,2010-12
536402,2010-12-01 11:22:00,15513.0,United Kingdom,357.0,False,2010-12
536403,2010-12-01 11:27:00,12791.0,Netherlands,192.60000000000002,False,2010-12
536404,2010-12-01 11:29:00,16218.0,United Kingdom,471.3,False,2010-12
536405,2010-12-01 11:32:00,14045.0,United Kingdom,326.4,False,2010-12
536406,2010-12-01 11:33:00,17850.0,United Kingdom,353.14,False,2010-12
536407,2010-12-01 11:34:00,17850.0,United Kingdom,22.200000000000003,False,2010-12
536408,2010-12-01 11:41:00,14307.0,United Kingdom,783.11,False,2010-12
536409,2010-12-01 11:45:00,17908.0,United Kingdom,243.28,False,2010-12
536412,2010-12-01 11:49:00,17920.0,United Kingdom,514.41,False,2010-12
536415,2010-12-01 11:57:00,12838.0,United Kingdom,390.79,False,2010-12
536416,2010-12-01 11:58:00,13255.0,United Kingdom,225.7,False,2010-12
536420,2010-12-01 12:03:00,16583.0,United Kingdom,233.45,False,2010-12
536423,2010-12-01 12:08:00,18085.0,United Kingdom,303.9,False,2010-12
536425,2010-12-01 12:08:00,13758.0,United Kingdom,362.45,False,2010-12
536437,2010-12-01 12:12:00,13694.0,United Kingdom,842.12,False,2010-12
536446,2010-12-01 12:15:00,15983.0,United Kingdom,440.89,False,2010-12
536460,2010-12-01 12:22:00,14849.0,United Kingdom,295.54,False,2010-12
536463,2010-12-01 12:22:00,14849.0,United Kingdom,17.4,False,2010-12
536464,2010-12-01 12:23:00,17968.0,United Kingdom,277.35,False,2010-12
536466,2010-12-01 12:23:00,14849.0,United Kingdom,42.9,False,2010-12
536477,2010-12-01 12:27:00,16210.0,United Kingdom,2474.7400000000002,False,2010-12
536488,2010-12-01 12:31:00,17897.0,United Kingdom,165.89,False,2010-12
536500,2010-12-01 12:35:00,17377.0,United Kingdom,223.9,False,2010-12
536502,2010-12-01 12:36:00,16552.0,United Kingdom,95.29,False,2010-12
536508,2010-12-01 12:38:00,17181.0,United Kingdom,155.52,False,2010-12
536514,2010-12-01 12:40:00,17951.0,United Kingdom,295.5,False,2010-12
536520,2010-12-01 12:43:00,14729.0,United Kingdom,313.49,False,2010-12
536521,2010-12-01 12:48:00,12748.0,United Kingdom,4.95,False,2010-12
536522,2010-12-01 12:49:00,15012.0,United Kingdom,191.06,False,2010-12
536523,2010-12-01 12:50:00,12868.0,United Kingdom,203.3,False,2010-12
536524,2010-12-01 12:51:00,17572.0,United Kingdom,70.80000000000001,False,2010-12
536525,2010-12-01 12:54:00,14078.0,United Kingdom,136.24,False,2010-12
536526,2010-12-01 12:58:00,14001.0,United Kingdom,301.24,False,2010-12
536527,2010-12-01 13:04:00,12662.0,Germany,261.48,False,2010-12
536528,2010-12-01 13:17:00,15525.0,United Kingdom,313.93,False,2010-12
536529,2010-12-01 13:20:00,14237.0,United Kingdom,161.0,False,2010-12
536530,2010-12-01 13:21:00,17905.0,United Kingdom,201.75,False,2010-12
536531,2010-12-01 13:23:00,15485.0,United Kingdom,950.09,False,2010-12
536532,2010-12-01 13:24:00,12433.0,Norway,1919.1399999999999,False,2010-12
536533,2010-12-01 13:31:00,16955.0,United Kingdom,156.1,False,2010-12
536534,2010-12-01 13:33:00,15350.0,United Kingdom,115.65,False,2010-12
536535,2010-12-01 13:38:00,15605.0,United Kingdom,194.85000000000002,False,2010-12
536536,2010-12-01 13:45:00,18144.0,United Kingdom,165.04999999999998,False,2010-12
536537,2010-12-01 13:51:00,15922.0,United Kingdom,369.5,False,2010-12
536538,2010-12-01 13:54:00,14594.0,United Kingdom,255.0,False,2010-12
536539,2010-12-01 14:03:00,15165.0,United Kingdom,487.75,False,2010-12
536540,2010-12-01 14:05:00,14911.0,EIRE,540.38,False,2010-12
536541,2010-12-01 14:05:00,14911.0,EIRE,15.0,False,2010-12
536542,2010-12-01 14:11:00,16456.0,United Kingdom,787.4,False,2010-12
536551,2010-12-01 14:34:00,17346.0,United Kingdom,146.61,False,2010-12
536556,2010-12-01 14:38:00,17643.0,United Kingdom,101.55,False,2010-12
536557,2010-12-01 14:41:00,17841.0,United Kingdom,537.38,False,2010-12
536559,2010-12-01 14:54:00,17873.0,United Kingdom,215.14999999999998,False,2010-12
536560,2010-12-01 15:00:00,13093.0,United Kingdom,799.4,False,2010-12
536561,2010-12-01 15:06:00,12921.0,United Kingdom,322.40000000000003,False,2010-12
536562,2010-12-01 15:08:00,13468.0,United Kingdom,308.65000000000003,False,2010-12
536563,2010-12-01 15:08:00,17760.0,United Kingdom,172.54,False,2010-12
536564,2010-12-01 15:08:00,13468.0,United Kingdom,51.4,False,2010-12
536566,2010-12-01 15:21:00,16928.0,United Kingdom,116.25,False,2010-12
536567,2010-12-01 15:27:00,16048.0,United Kingdom,251.40000000000003,False,2010-12
536568,2010-12-01 15:28:00,16048.0,United Kingdom,5.04,False,2010-12
536569,2010-12-01 15:35:00,16274.0,United Kingdom,357.95,False,2010-12
536570,2010-12-01 15:35:00,14496.0,United Kingdom,304.34000000000003,False,2010-12
536571,2010-12-01 15:37:00,14696.0,United Kingdom,294.62,False,2010-12
536572,2010-12-01 15:40:00,16539.0,United Kingdom,442.34999999999997,False,2010-12
536573,2010-12-01 15:45:00,17025.0,United Kingdom,143.12,False,2010-12
536574,2010-12-01 15:46:00,17025.0,United Kingdom,17.85,False,2010-12
536575,2010-12-01 16:01:00,13777.0,United Kingdom,1552.98,False,2010-12
536576,2010-12-01 16:11:00,13777.0,United Kingdom,2558.42,False,2010-12
536577,2010-12-01 16:13:00,13777.0,United Kingdom,497.0,False,2010-12
536578,2010-12-01 16:15:00,17690.0,United Kingdom,279.6,False,2010-12
536579,2010-12-01 16:16:00,13777.0,United Kingdom,315.96000000000004,False,2010-12
536580,2010-12-01 16:17:00,17690.0,United Kingdom,97.19999999999999,False,2010-12
536581,2010-12-01 16:19:00,13777.0,United Kingdom,330.0,False,2010-12
536582,2010-12-01 16:21:00,12947.0,United Kingdom,304.04,False,2010-12
536583,2010-12-01 16:21:00,13777.0,United Kingdom,198.0,False,2010-12
536584,2010-12-01 16:22:00,13777.0,United Kingdom,1132.8000000000002,False,2010-12
536585,2010-12-01 16:24:00,17460.0,United Kingdom,19.9,False,2010-12
536586,2010-12-01 16:25:00,18229.0,United Kingdom,344.2,False,2010-12
536587,2010-12-01 16:33:00,14142.0,United Kingdom,311.81,False,2010-12
536588,2010-12-01 16:49:00,17069.0,United Kingdom,277.05,False,2010-12
536590,2010-12-01 16:52:00,13065.0,United Kingdom,205.86,False,2010-12
536591,2010-12-01 16:57:00,14606.0,United Kingdom,198.32,False,2010-12
536593,2010-12-01 17:15:00,16835.0,United Kingdom,81.75,False,2010-12
536594,2010-12-01 17:22:00,15235.0,United Kingdom,79.5,False,2010-12
536595,2010-12-01 17:24:00,13576.0,United Kingdom,349.15,False,2010-12
536597,2010-12-01 17:35:00,18011.0,United Kingdom,102.78999999999999,False,2010-12
536598,2010-12-02 07:48:00,13090.0,United Kingdom,160.6,False,2010-12
536599,2010-12-02 07:49:00,15694.0,United Kingdom,306.4,False,2010-12
536600,2010-12-02 08:32:00,17850.0,United Kingdom,251.62,False,2010-12
536601,2010-12-02 08:33:00,17850.0,United Kingdom,22.200000000000003,False,2010-12
536602,2010-12-02 08:34:00,17850.0,United Kingdom,163.76,False,2010-12
536603,2010-12-02 08:40:00,17850.0,United Kingdom,22.200000000000003,False,2010-12
536604,2010-12-02 08:43:00,14741.0,United Kingdom,184.5,False,2010-12
536605,2010-12-02 08:52:00,13715.0,United Kingdom,272.65000000000003,False,2010-12
536607,2010-12-02 09:29:00,17732.0,United Kingdom,303.97,False,2010-12
536608,2010-12-02 09:37:00,12855.0,United Kingdom,38.1,False,2010-12
536609,2010-12-02 09:41:00,17850.0,United Kingdom,244.46,False,2010-12
536610,2010-12-02 09:42:00,17850.0,United Kingdom,22.200000000000003,False,2010-12
536611,2010-12-02 09:43:00,15752.0,United Kingdom,259.65000000000003,False,2010-12
536612,2010-12-02 09:44:00,17850.0,United Kingdom,206.76,False,2010-12
536613,2010-12-02 09:44:00,17855.0,United Kingdom,208.97,False,2010-12
536614,2010-12-02 09:44:00,17850.0,United Kingdom,22.200000000000003,False,2010-12
536615,2010-12-02 10:09:00,14047.0,United Kingdom,286.92,False,2010-12
536616,2010-12-02 10:10:00,17925.0,United Kingdom,244.08,False,2010-12
536617,2010-12-02 10:17:00,13941.0,United Kingdom,1095.12,False,2010-12
536618,2010-12-02 10:17:00,17017.0,United Kingdom,780.12,False,2010-12
536619,2010-12-02 10:18:00,17017.0,United Kingdom,97.19999999999999,False,2010-12
536620,2010-12-02 10:27:00,14135.0,United Kingdom,485.25,False,2010-12
536621,2010-12-02 10:35:00,13108.0,United Kingdom,350.06,False,2010-12
536623,2010-12-02 10:39:00,15601.0,United Kingdom,768.38,False,2010-12
536624,2010-12-02 10:45:00,13418.0,United Kingdom,610.64,False,2010-12
536626,2010-12-02 10:46:00,13418.0,United Kingdom,12.600000000000001,False,2010-12
536627,2010-12-02 10:53:00,15658.0,United Kingdom,306.2,False,2010-12
536628,2010-12-02 10:54:00,17850.0,United Kingdom,230.56,False,2010-12
536629,2010-12-02 10:55:00,17850.0,United Kingdom,22.200000000000003,False,2010-12
536630,2010-12-02 10:56:00,17850.0,United Kingdom,244.46,False,2010-12
536631,2010-12-02 10:58:00,17850.0,United Kingdom,22.200000000000003,False,2010-12
536632,2010-12-02 11:02:00,14388.0,United Kingdom,312.8,False,2010-12
536633,2010-12-02 11:20:00,14901.0,United Kingdom,204.15,False,2010-12
536634,2010-12-02 11:21:00,18041.0,United Kingdom,193.78,False,2010-12
536635,2010-12-02 11:22:00,15955.0,United Kingdom,572.38,False,2010-12
536636,2010-12-02 11:23:00,15070.0,United Kingdom,106.2,False,2010-12
536637,2010-12-02 11:35:00,18041.0,United Kingdom,235.16,False,2010-12
536638,2010-12-02 11:41:00,16244.0,United Kingdom,1056.63,False,2010-12
536639,2010-12-02 11:45:00,15111.0,United Kingdom,288.5,False,2010-12
536641,2010-12-02 11:46:00,12748.0,United Kingdom,4.25,False,2010-12
536643,2010-12-02 11:57:00,14390.0,United Kingdom,223.7,False,2010-12
536663,2010-12-02 12:07:00,16546.0,United Kingdom,299.40000000000003,False,2010-12
536667,2010-12-02 12:09:00,15260.0,United Kingdom,362.5,False,2010-12
536670,2010-12-02 12:09:00,15260.0,United Kingdom,58.0,False,2010-12
536671,2010-12-02 12:10:00,13305.0,United Kingdom,136.2,False,2010-12
536672,2010-12-02 12:10:00,14491.0,United Kingdom,127.2,False,2010-12
536673,2010-12-02 12:11:00,14060.0,United Kingdom,339.84,False,2010-12
536674,2010-12-02 12:16:00,15923.0,United Kingdom,127.08,False,2010-12
536676,2010-12-02 12:18:00,16752.0,United Kingdom,207.5,False,2010-12
536681,2010-12-02 12:22:00,17287.0,United Kingdom,113.92,False,2010-12
536685,2010-12-02 12:23:00,17850.0,United Kingdom,380.46,False,2010-12
536688,2010-12-02 12:24:00,17850.0,United Kingdom,22.200000000000003,False,2010-12
536690,2010-12-02 12:25:00,17850.0,United Kingdom,331.26,False,2010-12
536693,2010-12-02 12:26:00,17850.0,United Kingdom,22.200000000000003,False,2010-12
536698,2010-12-02 12:28:00,15363.0,United Kingdom,326.0,False,2010-12
536707,2010-12-02 12:33:00,12915.0,United Kingdom,199.65,False,2010-12
536732,2010-12-02 12:47:00,15544.0,United Kingdom,354.54,False,2010-12
536733,2010-12-02 12:50:00,15738.0,United Kingdom,329.65000000000003,False,2010-12
536735,2010-12-02 12:58:00,17381.0,United Kingdom,211.2,False,2010-12
536736,2010-12-02 12:59:00,17381.0,United Kingdom,824.88,False,2010-12
536738,2010-12-02 13:06:00,15827.0,United Kingdom,98.18,False,2010-12
536739,2010-12-02 13:08:00,14180.0,United Kingdom,201.75,False,2010-12
536740,2010-12-02 13:08:00,15827.0,United Kingdom,92.75,False,2010-12
536741,2010-12-02 13:11:00,13117.0,United Kingdom,202.12,False,2010-12
536742,2010-12-02 13:14:00,16916.0,United Kingdom,198.08,False,2010-12
536743,2010-12-02 13:32:00,17964.0,United Kingdom,261.76,False,2010-12
536744,2010-12-02 13:36:00,14466.0,United Kingdom,379.75,False,2010-12
536745,2010-12-02 13:38:00,17235.0,United Kingdom,341.9,False,2010-12
536746,2010-12-02 13:39:00,16510.0,United Kingdom,248.1,False,2010-12
536747,2010-12-02 13:44:00,17802.0,United Kingdom,100.2,False,2010-12
536748,2010-12-02 13:45:00,15107.0,United Kingdom,116.0,False,2010-12
536749,2010-12-02 13:49:00,17976.0,United Kingdom,353.19,False,2010-12
536750,2010-12-02 14:04:00,17850.0,United Kingdom,434.8,False,2010-12
536751,2010-12-02 14:05:00,17850.0,United Kingdom,22.200000000000003,False,2010-12
536752,2010-12-02 14:06:00,17850.0,United Kingdom,390.66,False,2010-12
536753,2010-12-02 14:07:00,17850.0,United Kingdom,22.200000000000003,False,2010-12
536754,2010-12-02 14:09:00,14449.0,United Kingdom,210.24,False,2010-12
536759,2010-12-02 14:26:00,16781.0,United Kingdom,311.25,False,2010-12
536761,2010-12-02 14:30:00,13491.0,United Kingdom,98.9,False,2010-12
536762,2010-12-02 14:40:00,16186.0,United Kingdom,307.68,False,2010-12
536763,2010-12-02 14:42:00,17685.0,United Kingdom,452.52,False,2010-12
536769,2010-12-02 14:47:00,17581.0,United Kingdom,668.4,False,2010-12
536771,2010-12-02 14:49:00,17581.0,United Kingdom,118.38,False,2010-12
536777,2010-12-02 15:00:00,15732.0,United Kingdom,138.1,False,2010-12
536778,2010-12-02 15:03:00,13138.0,United Kingdom,193.23,False,2010-12
536779,2010-12-02 15:08:00,15823.0,United Kingdom,15.0,False,2010-12
536781,2010-12-02 15:14:00,17460.0,United Kingdom,50.400000000000006,False,2010-12
536782,2010-12-02 15:18:00,17567.0,United Kingdom,517.95,False,2010-12
536783,2010-12-02 15:19:00,15061.0,United Kingdom,4076.48,False,2010-12
536784,2010-12-02 15:20:00,15061.0,United Kingdom,2170.9,False,2010-12
536785,2010-12-02 15:22:00,15061.0,United Kingdom,2730.96,False,2010-12
536786,2010-12-02 15:23:00,15061.0,United Kingdom,324.0,False,2010-12
536787,2010-12-02 15:24:00,17850.0,United Kingdom,192.46,False,2010-12
536788,2010-12-02 15:25:00,15061.0,United Kingdom,75.0,False,2010-12
536789,2010-12-02 15:25:00,17850.0,United Kingdom,22.200000000000003,False,2010-12
536790,2010-12-02 15:26:00,17850.0,United Kingdom,532.01,False,2010-12
536791,2010-12-02 15:27:00,17850.0,United Kingdom,44.400000000000006,False,2010-12
536792,2010-12-02 15:28:00,15061.0,United Kingdom,30.0,False,2010-12
536793,2010-12-02 15:39:00,16203.0,United Kingdom,170.7,False,2010-12
536794,2010-12-02 15:40:00,13767.0,United Kingdom,322.8,False,2010-12
536795,2010-12-02 15:40:00,15640.0,United Kingdom,333.72,False,2010-12
536796,2010-12-02 15:46:00,15574.0,United Kingdom,375.65,False,2010-12
536797,2010-12-02 15:49:00,16770.0,United Kingdom,130.8,False,2010-12
536798,2010-12-02 15:55:00,17838.0,United Kingdom,717.1600000000001,False,2010-12
536799,2010-12-02 16:00:00,17228.0,United Kingdom,183.3,False,2010-12
536800,2010-12-02 16:12:00,14829.0,United Kingdom,236.97,False,2010-12
536802,2010-12-02 16:29:00,17412.0,United Kingdom,197.3,False,2010-12
536803,2010-12-02 16:33:00,14911.0,EIRE,22.5,False,2010-12
536804,2010-12-02 16:34:00,14031.0,United Kingdom,1714.25,False,2010-12
536805,2010-12-02 16:38:00,14775.0,United Kingdom,406.56,False,2010-12
536806,2010-12-02 16:42:00,12971.0,United Kingdom,45.12,False,2010-12
536808,2010-12-02 16:46:00,17659.0,United Kingdom,247.8,False,2010-12
536809,2010-12-02 16:48:00,15299.0,United Kingdom,1003.2,False,2010-12
536810,2010-12-02 16:50:00,15299.0,United Kingdom,303.96,False,2010-12
536811,2010-12-02 16:51:00,15299.0,United Kingdom,527.85,False,2010-12
536813,2010-12-02 16:59:00,15646.0,United Kingdom,189.8,False,2010-12
536819,2010-12-02 17:12:00,13402.0,United Kingdom,308.28000000000003,False,2010-12
536821,2010-12-02 17:17:00,17757.0,United Kingdom,143.45000000000002,False,2010-12
536823,2010-12-02 17:22:00,13011.0,United Kingdom,50.550000000000004,False,2010-12
536824,2010-12-02 17:24:00,13798.0,United Kingdom,408.0,False,2010-12
536830,2010-12-02 17:38:00,16754.0,United Kingdom,2002.4,False,2010-12
536831,2010-12-02 17:40:00,16029.0,United Kingdom,569.4,False,2010-12
536832,2010-12-02 17:41:00,16634.0,United Kingdom,164.8,False,2010-12
536833,2010-12-02 17:48:00,18239.0,United Kingdom,438.1,False,2010-12
536834,2010-12-02 17:51:00,14576.0,United Kingdom,35.400000000000006,False,2010-12
536835,2010-12-02 18:06:00,13145.0,United Kingdom,295.0,False,2010-12
536836,2010-12-02 18:08:00,18168.0,United Kingdom,263.3,False,2010-12
536837,2010-12-02 18:15:00,14395.0,United Kingdom,308.68,False,2010-12
536838,2010-12-02 18:23:00,14865.0,United Kingdom,37.2,False,2010-12
536839,2010-12-02 18:25:00,15093.0,United Kingdom,623.73,False,2010-12
536840,2010-12-02 18:27:00,12738.0,Germany,155.35,False,2010-12
536841,2010-12-02 18:27:00,16150.0,United Kingdom,393.42,False,2010-12
536842,2010-12-02 18:45:00,17552.0,United Kingdom,263.62,False,2010-12
536843,2010-12-02 18:46:00,17552.0,United Kingdom,34.9,False,2010-12
536844,2010-12-02 18:49:00,14236.0,United Kingdom,189.3,False,2010-12
536845,2010-12-02 19:18:00,17961.0,United Kingdom,127.55,False,2010-12
536846,2010-12-02 19:59:00,14573.0,United Kingdom,413.1,False,2010-12
536847,2010-12-03 09:31:00,17135.0,United Kingdom,215.57999999999998,False,2010-12
536848,2010-12-03 09:39:00,13408.0,United Kingdom,534.0,False,2010-12
536849,2010-12-03 09:45:00,17396.0,United Kingdom,397.5,False,2010-12
536851,2010-12-03 09:49:00,12967.0,United Kingdom,1368.4,False,2010-12
536852,2010-12-03 09:51:00,12686.0,France,89.14,False,2010-12
536856,2010-12-03 10:26:00,13370.0,United Kingdom,754.87,False,2010-12
536857,2010-12-03 10:33:00,16883.0,United Kingdom,128.03,False,2010-12
536858,2010-12-03 10:36:00,13520.0,Switzerland,303.4,False,2010-12
536859,2010-12-03 10:43:00,12841.0,United Kingdom,294.25,False,2010-12
536860,2010-12-03 10:43:00,16905.0,United Kingdom,254.39999999999998,False,2010-12
536861,2010-12-03 10:44:00,12427.0,Germany,303.5,False,2010-12
536863,2010-12-03 11:19:00,17967.0,United Kingdom,123.07,False,2010-12
536874,2010-12-03 11:35:00,16891.0,United Kingdom,232.26,False,2010-12
536884,2010-12-03 11:42:00,14589.0,United Kingdom,39.75,False,2010-12
536890,2010-12-03 11:48:00,14156.0,EIRE,322.2,False,2010-12
536938,2010-12-03 12:05:00,14680.0,United Kingdom,1680.88,False,2010-12
536943,2010-12-03 12:11:00,17884.0,United Kingdom,187.51,False,2010-12
536944,2010-12-03 12:20:00,12557.0,Spain,620.0,False,2010-12
536945,2010-12-03 12:24:00,14083.0,United Kingdom,309.54,False,2010-12
536946,2010-12-03 12:28:00,13013.0,United Kingdom,841.94,False,2010-12
536947,2010-12-03 12:29:00,13013.0,United Kingdom,686.4,False,2010-12
536954,2010-12-03 12:41:00,17809.0,United Kingdom,425.0,False,2010-12
536956,2010-12-03 12:43:00,14210.0,United Kingdom,304.95000000000005,False,2010-12
536957,2010-12-03 12:43:00,17809.0,United Kingdom,791.7,False,2010-12
536960,2010-12-03 12:48:00,16477.0,United Kingdom,225.65,False,2010-12
536967,2010-12-03 12:57:00,12600.0,Germany,76.5,False,2010-12
536968,2010-12-03 13:09:00,16013.0,United Kingdom,534.0,False,2010-12
536969,2010-12-03 13:10:00,16013.0,United Kingdom,528.0,False,2010-12
536970,2010-12-03 13:12:00,17949.0,United Kingdom,1314.0,False,2010-12
536971,2010-12-03 13:40:00,12779.0,Poland,248.16,False,2010-12
536972,2010-12-03 13:42:00,16926.0,United Kingdom,230.25,False,2010-12
536973,2010-12-03 13:43:00,17787.0,United Kingdom,736.28,False,2010-12
536974,2010-12-03 13:59:00,12682.0,France,336.24,False,2010-12
536975,2010-12-03 14:04:00,14911.0,EIRE,1705.65,False,2010-12
536976,2010-12-03 14:18:00,14723.0,United Kingdom,149.8,False,2010-12
536977,2010-12-03 14:18:00,17954.0,United Kingdom,108.78,False,2010-12
536980,2010-12-03 14:26:00,17819.0,United Kingdom,591.47,False,2010-12
536981,2010-12-03 14:26:00,14723.0,United Kingdom,101.14,False,2010-12
536983,2010-12-03 14:30:00,12712.0,Germany,175.53,False,2010-12
536984,2010-12-03 14:35:00,17841.0,United Kingdom,339.54,False,2010-12
536985,2010-12-03 14:40:00,15373.0,United Kingdom,334.3,False,2010-12
536986,2010-12-03 14:40:00,16140.0,United Kingdom,124.14,False,2010-12
536987,2010-12-03 14:54:00,17198.0,United Kingdom,272.01,False,2010-12
536988,2010-12-03 15:05:00,17238.0,United Kingdom,254.39000000000001,False,2010-12
536989,2010-12-03 15:10:00,17238.0,United Kingdom,115.7,False,2010-12
536990,2010-12-03 15:14:00,12793.0,Portugal,131.8,False,2010-12
536992,2010-12-03 15:16:00,15769.0,United Kingdom,91.8,False,2010-12
536993,2010-12-03 15:19:00,14396.0,United Kingdom,110.35000000000001,False,2010-12
536994,2010-12-03 15:25:00,14898.0,United Kingdom,98.5,False,2010-12
537022,2010-12-03 15:45:00,12725.0,Italy,427.8,False,2010-12
537023,2010-12-03 16:02:00,16725.0,United Kingdom,122.15,False,2010-12
537026,2010-12-03 16:35:00,12395.0,Belgium,346.1,False,2010-12
537030,2010-12-03 16:44:00,16455.0,United Kingdom,246.3,False,2010-12
537031,2010-12-03 16:45:00,16455.0,United Kingdom,135.0,False,2010-12
537034,2010-12-03 17:20:00,13081.0,United Kingdom,2355.1800000000003,False,2010-12
537035,2010-12-03 17:21:00,13081.0,United Kingdom,11.6,False,2010-12
537036,2010-12-03 17:28:00,15545.0,United Kingdom,135.32999999999998,False,2010-12
537037,2010-12-05 10:03:00,17243.0,United Kingdom,256.90000000000003,False,2010-12
537038,2010-12-05 10:12:00,15465.0,United Kingdom,535.75,False,2010-12
537040,2010-12-05 10:27:00,13089.0,United Kingdom,734.3999999999999,False,2010-12
537041,2010-12-05 10:36:00,16033.0,United Kingdom,155.64000000000001,False,2010-12
537042,2010-12-05 10:45:00,13838.0,United Kingdom,238.11,False,2010-12
537044,2010-12-05 10:52:00,18055.0,United Kingdom,431.45,False,2010-12
537045,2010-12-05 10:54:00,15038.0,United Kingdom,126.42999999999999,False,2010-12
537046,2010-12-05 10:58:00,18109.0,United Kingdom,277.45,False,2010-12
537047,2010-12-05 11:02:00,13069.0,United Kingdom,326.6,False,2010-12
537048,2010-12-05 11:03:00,13069.0,United Kingdom,5.9,False,2010-12
537049,2010-12-05 11:04:00,16241.0,United Kingdom,277.65000000000003,False,2010-12
537050,2010-12-05 11:10:00,14800.0,United Kingdom,555.84,False,2010-12
537051,2010-12-05 11:12:00,15708.0,United Kingdom,350.68,False,2010-12
537052,2010-12-05 11:15:00,16839.0,United Kingdom,552.24,False,2010-12
537053,2010-12-05 11:38:00,16168.0,United Kingdom,275.8,False,2010-12
537054,2010-12-05 11:40:00,16931.0,United Kingdom,152.05,False,2010-12
537055,2010-12-05 11:45:00,16814.0,United Kingdom,273.29,False,2010-12
537057,2010-12-05 11:49:00,15351.0,United Kingdom,274.67,False,2010-12
537058,2010-12-05 11:51:00,13269.0,United Kingdom,351.43,False,2010-12
537059,2010-12-05 11:54:00,14813.0,United Kingdom,127.98,False,2010-12
537065,2010-12-05 11:57:00,12567.0,France,1526.92,False,2010-12
537067,2010-12-05 11:57:00,14813.0,United Kingdom,27.45,False,2010-12
537077,2010-12-05 11:59:00,17062.0,United Kingdom,179.64000000000001,False,2010-12
537081,2010-12-05 12:00:00,15332.0,Lithuania,1145.06,False,2010-12
537086,2010-12-05 12:01:00,15332.0,Lithuania,438.0,False,2010-12
537090,2010-12-05 12:02:00,15332.0,Lithuania,15.0,False,2010-12
537111,2010-12-05 12:08:00,14810.0,United Kingdom,180.44,False,2010-12
537117,2010-12-05 12:09:00,16353.0,United Kingdom,204.0,False,2010-12
537126,2010-12-05 12:13:00,18118.0,United Kingdom,475.86,False,2010-12
537127,2010-12-05 12:13:00,13831.0,United Kingdom,408.0,False,2010-12
537128,2010-12-05 12:15:00,12841.0,United Kingdom,211.74,False,2010-12
537129,2010-12-05 12:15:00,13506.0,United Kingdom,301.12,False,2010-12
537130,2010-12-05 12:23:00,17796.0,United Kingdom,114.65,False,2010-12
537131,2010-12-05 12:26:00,15716.0,United Kingdom,547.1,False,2010-12
537133,2010-12-05 12:29:00,18156.0,United Kingdom,206.23000000000002,False,2010-12
537134,2010-12-05 12:34:00,16983.0,United Kingdom,163.49,False,2010-12
537135,2010-12-05 12:35:00,17059.0,United Kingdom,722.36,False,2010-12
